,id,created_time,text,source,favorite_count,retweet_count,username
122,781613479589470208,2016-09-29 21:55:49,It's the Senate's job to fairly consider Supreme Court nominees. Their refusal to do so is unacceptable: https://t.co/s8FdCa0tq6 #DoYourJob,Twitter Web Client,3526,1036,BarackObama
123,781579567358095360,2016-09-29 19:41:04,"""Everybody gets sick."" Check out what President Obama is doing to extend access to paid sick leave: https://t.co/gOAc2HAkQg #LeadOnLeave",Twitter Web Client,2705,633,BarackObama
124,781553914092990464,2016-09-29 17:59:08,RT @ErnestMoniz: THIS is what a #CleanEnergy revolution looks like. New report out today → https://t.co/o13p5fPNDg #ActOnClimate https://t.…,Twitter Web Client,0,299,BarackObama
125,781532250143719424,2016-09-29 16:33:03,Never underestimate the strength and resilience of the American economy. https://t.co/OFTN2FlRtq,Twitter Web Client,5426,1310,BarackObama
126,781512097167384576,2016-09-29 15:12:58,RT @Slate: President Obama answers Slate’s questions about his administration’s new rule extending paid sick leave: https://t.co/8AdEx431QN…,Twitter Web Client,0,237,BarackObama
127,781189166126264321,2016-09-28 17:49:45,The @OFA Truth Team makes it easy to stay informed. Join today: https://t.co/Q0axQYyJY1,Twitter Web Client,1415,323,BarackObama
128,781150531943211010,2016-09-28 15:16:14,"This is no accident—we're making a comeback because together, we've fought hard to support American families. https://t.co/LTk7SiTexP",Twitter Web Client,10962,3145,BarackObama
129,780875664953978881,2016-09-27 21:04:01,We're better off than we were eight years ago. https://t.co/OwrTM3V78t,Twitter Web Client,7094,2588,BarackObama
130,780855089946726400,2016-09-27 19:42:15,"Household incomes are up, and the poverty rate is down across all demographics. https://t.co/cEIdPJuuvR",Twitter Web Client,3307,1027,BarackObama
131,780813534376538112,2016-09-27 16:57:08,"As long as Senate leaders keep refusing to do their jobs, @OFA supporters will continue speaking out against their… https://t.co/DkmDKpMhOw",Twitter Web Client,8402,2831,BarackObama
132,780791269060595712,2016-09-27 15:28:39,Senate leaders have blocked Judge Garland's hearing for over six months now. Keep pushing: https://t.co/AGrUjJTnST #DoYourJob,Twitter Web Client,2651,822,BarackObama
133,780511904485605376,2016-09-26 20:58:33,"Important, tough conversations require solid facts. Get them from the @OFA Truth Team: https://t.co/5YH9zVeayn https://t.co/dD1EPgaA9W",Twitter Web Client,3376,958,BarackObama
134,780481839177748480,2016-09-26 18:59:05,"These are high praises from the American Bar Association—and yet, Senate leaders refuse to even consider Judge Garl… https://t.co/ryPFLZDAhY",Twitter Web Client,7289,2343,BarackObama
135,780458668122791936,2016-09-26 17:27:01,Senate leaders' unprecedented obstruction of the Supreme Court nomination must end. Your voice matters: https://t.co/yhy8al1FK7 #DoYourJob,Twitter Web Client,2241,732,BarackObama
136,780435649971167232,2016-09-26 15:55:33,The American people are waiting for Senate leaders to do their jobs. https://t.co/LNqAQpxMle,Twitter Web Client,4386,1428,BarackObama
137,779428314012200960,2016-09-23 21:12:45,Senate leaders have blocked Judge Garland's hearing for over six months now. Keep pushing: https://t.co/peV6aCYswa #DoYourJob,Twitter Web Client,2363,773,BarackObama
138,779411464830320640,2016-09-23 20:05:48,"Senate leaders need to work for the good of the American people, not seek out political points. https://t.co/Tdx3xk6gYi",Twitter Web Client,6824,2125,BarackObama
139,779395875239895042,2016-09-23 19:03:51,Watch President Obama and @CEAChair Jason Furman discuss the positive gains the American economy has made. https://t.co/J28Crn3WAP,Twitter Web Client,1595,438,BarackObama
140,779380553334140932,2016-09-23 18:02:58,Here are 16 broken records we shouldn't be proud of. https://t.co/x98dGgEloW,Twitter Web Client,7074,4366,BarackObama
141,779363981177843712,2016-09-23 16:57:07,Stay informed. Stay engaged. Speak up. Join the @OFA Truth Team: https://t.co/GVTL4HrTXw,Twitter Web Client,1496,434,BarackObama
142,779348972670517248,2016-09-23 15:57:29,"Another record broken: 16 months in a row of undeniable, record-breaking heat.
https://t.co/qMAH7nFf5I #ActOnClimate",Twitter Web Client,2611,1427,BarackObama
143,779082523963863041,2016-09-22 22:18:43,Happy #FirstDayofFall. https://t.co/ix02MNuOud,Twitter Web Client,41674,14138,BarackObama
